object			
volume	00216x04	James Diderot & al.	{date}
orth	HÆMATOSIS		
entry	HÆMOCERCHNUS	0	
orth	HÆMOCERCHNUS		
entry	HÆMODENUM	0	
orth	HÆMODENUM		
entry	HÆMODIA	0	
orth	HÆMODIA		
entry	HÆMOPHOBOS	0	
orth	HÆMOPHOBOS		
entry	HÆMOPTYICUS	0	
orth	HÆMOPTYICUS		
entry	HÆMOPTYSIS	0	
orth	HÆMOPTYSIS		
entry	HÆMORRHAGIA	7	
orth	HÆMORRHAGIA		
pb	183	0094	
pb	185	0095	
pb	187	0096	
pb	189	0097	
pb	191	0098	
pb	193	0099	
pb	195	0100	
entry	HÆMORRHOIDALE, HÆMORRHOIDALIS	0	
orth	HÆMORRHOIDALE		
orth	HÆMORRHOIDALIS		
entry	HÆMORRHOIDES	4	
orth	HÆMORRHOIDES		
clique	Haemorrhagia		
pb	197	0101	
pb	199	0102	
pb	201	0103	
clique	Emmenagoga		
clique	Anus		
pb	203	0104	
entry	HÆMORRHOSCOPIA	0	
orth	HÆMORRHOSCOPIA		
entry	HÆMORRHOUS	1	
orth	HÆMORRHOUS		
pb	205	0105	
entry	HÆMOSTASIA	0	
orth	HÆMOSTASIA		
entry	HÆMOSTATICA	0	
orth	HÆMOSTATICA		
entry	HÆRMIA	0	
orth	HÆRMIA		
entry	HAGAR, AGIAR	0	
orth	HAGAR		
orth	AGIAR		
entry	HAGIOSPERMON	0	
orth	HAGIOSPERMON		
entry	HAGIOXYLON	0	
orth	HAGIOXYLON		
entry	HAL	0	
orth	HAL		
entry	HALATION	0	
orth	HALATION		
entry	HALCHEMIA	0	
