entrée	James EN	James FR
Amphora	1	1
Amplexatio, Bafiatio	1	
Amplexatio, Basiatio		1
Ampotis	1	1
Ampulla	1	1
Ampullascens	1	1
Amputatio	15	19
Amuctica	1	1
Amuleta	1	1
Amurca	1	1
Amvetti, Vetti-Tali	1	
Amvetti, Vetti-tali		1
Amyche	1	1
Amydros	1	1
Amygdalae	1	1
Amygdalatum	1	1
Amygdalia	1	1
Amygdaloides	1	1
Amygdalopersicum	1	1
Amygdalus	1	1
Amyleon, Amylion	1	1
Amylum	1	1
Amyos	1	1
Amythaonis emplastrum	1	1
An-fir	1	1
An-firarto	1	1
An-pater	1	1
Ana	1	1
Ana-coluppa	1	1
Ana-mallu	1	1
Anabasis	1	1
Anabole	1	1
Anabrochismos, Anabrochismus		1
Anabrochismos, Anabronchismus	1	
Anabrosis	1	1
Anacampseros	1	1
Anacar	1	1
Anacardios antidotus theodoretus	1	1
Anacardium	1	1
Anacatharsis	1	1
Anacathartica	1	1
Anacestos	1	1
Anachmus	1	1
Anachrempsis	1	1
Anacinemata	1	1
Anaclasis	1	1
Anaclinterium	1	1
Anaclisis	1	1
Anaclismos	1	1
Anacock	1	1
Anacoeliasmus	1	1
Anacollema	1	1
Anacomide	1	1
Anaconchylismos	1	1
Anacos	1	1
Anacouphismata	1	1
Anactesis	1	
Anactorion	1	1
Anacycleon	1	1
Anacyriosis	1	1
Anadendromalache	1	1
Anadiplosis	1	1
Anadosis	1	1
Anadrome	1	1
Anaedes	1	1
Anaedromos	1	1
Anaesthesia	1	1
Anagallis	1	1
Anagargalicta	1	1
Anagargariston	1	1
Anaglyphe	1	1
Anagnosis	1	1
Anagraphe	1	1
Anagyris	1	1
Anaides	1	1
Anaisthesia	1	1
Analces	1	1
Analdes	1	1
Analentia	1	1
Analepsia	1	1
Analepsis	1	1
Analeptica	1	1
Analgesia	1	1
Anallis	1	1
Analmyros	1	1
Analogismos	1	1
Analosis	1	1
Analthes	1	1
Analtos	1	1
Analysis	15	20
Anamix	1	1
Anamnesis	1	1
Ananas	1	1
Anance	1	1
